filing_id,filing_type,entity_type,jurisdiction,status,priority,submission_date,completion_date,processing_days,rejection_reason,assigned_team,source_channel
1001,Annual Report,LLC,Florida,Completed,High,2025-01-02,2025-01-04,2,None,Domestic Filings,Portal
1002,Certificate of Good Standing,Corporation,Delaware,Completed,Medium,2025-01-03,2025-01-04,1,None,Certificates,Email
1003,Foreign Qualification,LLC,Texas,Delayed,High,2025-01-04,2025-01-10,6,Missing Attachment,Foreign Filings,Portal
1004,Amendment,Corporation,California,Completed,Low,2025-01-05,2025-01-08,3,None,Amendments,Email
1005,Annual Report,LLC,Florida,Completed,Medium,2025-01-06,2025-01-08,2,None,Domestic Filings,Portal
1006,Reinstatement,Corporation,New York,Delayed,High,2025-01-07,2025-01-14,7,Incorrect Fee,Reinstatements,Email
1007,Certificate of Good Standing,LLC,Delaware,Completed,Low,2025-01-08,2025-01-09,1,None,Certificates,Portal
1008,Foreign Qualification,Corporation,Texas,Completed,Medium,2025-01-09,2025-01-13,4,None,Foreign Filings,Portal
1009,Amendment,LLC,California,Completed,High,2025-01-10,2025-01-13,3,None,Amendments,Email
1010,Annual Report,Corporation,Florida,Delayed,Medium,2025-01-11,2025-01-16,5,Name Mismatch,Domestic Filings,Portal
1011,Reinstatement,LLC,New York,Completed,High,2025-01-12,2025-01-18,6,None,Reinstatements,Email
1012,Certificate of Good Standing,Corporation,Delaware,Completed,Low,2025-01-13,2025-01-14,1,None,Certificates,Portal
1013,Foreign Qualification,LLC,Texas,Delayed,High,2025-01-14,2025-01-22,8,Missing Signature,Foreign Filings,Email
1014,Amendment,Corporation,California,Completed,Medium,2025-01-15,2025-01-17,2,None,Amendments,Portal
1015,Annual Report,LLC,Florida,Completed,High,2025-01-16,2025-01-19,3,None,Domestic Filings,Portal
1016,Reinstatement,Corporation,New York,Delayed,High,2025-01-17,2025-01-26,9,Incorrect Form,Reinstatements,Email
1017,Certificate of Good Standing,LLC,Delaware,Completed,Low,2025-01-18,2025-01-19,1,None,Certificates,Portal
1018,Foreign Qualification,Corporation,Texas,Completed,Medium,2025-01-19,2025-01-23,4,None,Foreign Filings,Portal
1019,Annual Report,LLC,Florida,Completed,Medium,2025-01-20,2025-01-22,2,None,Domestic Filings,Email
1020,Amendment,Corporation,California,Delayed,Medium,2025-01-21,2025-01-26,5,Missing Attachment,Amendments,Portal
1021,Reinstatement,LLC,New York,Completed,High,2025-01-22,2025-01-28,6,None,Reinstatements,Portal
1022,Certificate of Good Standing,Corporation,Delaware,Completed,Low,2025-01-23,2025-01-24,1,None,Certificates,Email
1023,Foreign Qualification,LLC,Texas,Delayed,High,2025-01-24,2025-02-01,8,Incorrect Fee,Foreign Filings,Portal
1024,Annual Report,Corporation,Florida,Completed,Medium,2025-01-25,2025-01-28,3,None,Domestic Filings,Portal
1025,Amendment,LLC,California,Completed,Low,2025-01-26,2025-01-29,3,None,Amendments,Email
1026,Reinstatement,Corporation,New York,Delayed,High,2025-01-27,2025-02-04,8,Missing Signature,Reinstatements,Portal
1027,Certificate of Good Standing,LLC,Delaware,Completed,Low,2025-01-28,2025-01-29,1,None,Certificates,Portal
1028,Foreign Qualification,Corporation,Texas,Completed,Medium,2025-01-29,2025-02-02,4,None,Foreign Filings,Email
1029,Annual Report,LLC,Florida,Delayed,High,2025-01-30,2025-02-04,5,Name Mismatch,Domestic Filings,Portal
1030,Amendment,Corporation,California,Completed,Medium,2025-01-31,2025-02-03,3,None,Amendments,Portal
